"Country","Code","Continent.region","Year","Population","Total.Death.Rate","Average.death.rate","Factor","Death_rate","normalised death rate"
"Afghanistan","AFG","Asia",2019,37769499,209370,61.7827,"Diet low in whole grains",10335,0.0269506986059174
"Afghanistan","AFG","Asia",2019,37769499,209370,61.7827,"Diet low in fruits",4583,0.0119511419168766
"Afghanistan","AFG","Asia",2019,37769499,209370,61.7827,"Diet low in nuts and seeds",3269,0.0085246089736569
"Afghanistan","AFG","Asia",2019,37769499,209370,61.7827,"Diet low in vegetables",5148,0.0134244989282306
"Albania","ALB","Europe",2019,2854191,28500,75.9234,"Diet low in whole grains",1520,0.00396372151727087
"Albania","ALB","Europe",2019,2854191,28500,75.9234,"Diet low in fruits",217,0.000565873400820908
"Albania","ALB","Europe",2019,2854191,28500,75.9234,"Diet low in nuts and seeds",379,0.000988322667793198
"Albania","ALB","Europe",2019,2854191,28500,75.9234,"Diet low in vegetables",51,0.000132993287750536
"Algeria","DZA","Africa",2019,42705368,248758,60.5498,"Diet low in whole grains",14772,0.038521114640214
"Algeria","DZA","Africa",2019,42705368,248758,60.5498,"Diet low in fruits",2648,0.00690522011692978
"Algeria","DZA","Africa",2019,42705368,248758,60.5498,"Diet low in nuts and seeds",5697,0.0148561325551922
"Algeria","DZA","Africa",2019,42705368,248758,60.5498,"Diet low in vegetables",2741,0.00714773728871017
"American Samoa","ASM","Oceania",2019,47321,440,67.6233,"Diet low in whole grains",16,4.1723384392325e-05
"American Samoa","ASM","Oceania",2019,47321,440,67.6233,"Diet low in fruits",8,2.08616921961625e-05
"American Samoa","ASM","Oceania",2019,47321,440,67.6233,"Diet low in nuts and seeds",0,0
"American Samoa","ASM","Oceania",2019,47321,440,67.6233,"Diet low in vegetables",8,2.08616921961625e-05
"Andorra","AND","Europe",2019,76343,461,37.9865,"Diet low in whole grains",19,4.95465189658859e-05
"Andorra","AND","Europe",2019,76343,461,37.9865,"Diet low in fruits",5,1.30385576226016e-05
"Andorra","AND","Europe",2019,76343,461,37.9865,"Diet low in nuts and seeds",2,5.21542304904062e-06
"Andorra","AND","Europe",2019,76343,461,37.9865,"Diet low in vegetables",3,7.82313457356093e-06
"Angola","AGO","Africa",2019,32353588,105877,16.5855,"Diet low in whole grains",2013,0.00524932329885939
"Angola","AGO","Africa",2019,32353588,105877,16.5855,"Diet low in fruits",1579,0.00411757649721757
"Angola","AGO","Africa",2019,32353588,105877,16.5855,"Diet low in nuts and seeds",449,0.00117086247450962
