Country,Code,Continent_region,Year,Diet_low_in_whole_grains,Diet_low_in_fruits,Diet_low_in_nuts_and_seeds,Diet_low_in_Vegetables,Population,Total_Death_Rate,per/100k,Average_death_rate 
Afghanistan,AFG,Asia,2019,10335,4583,3269,5148,37769499,209370,554.3361854,61.78265695
Albania,ALB,Europe,2019,1520,217,379,51,2854191,28500,998.531633,75.9234403
Algeria,DZA,Africa,2019,14772,2648,5697,2741,42705368,248758,582.4982002,60.54976508
American Samoa,ASM,Oceania,2019,16,8,0,8,47321,440,929.8197418,67.62325395
Andorra,AND,Europe,2019,19,5,2,3,76343,461,603.8536605,37.98645586
Angola,AGO,Africa,2019,2013,1579,449,1325,32353588,105877,327.2496392,16.58548659
Antigua and Barbuda,ATG,North America,2019,26,6,4,8,92117,562,610.0936852,47.7653419
Argentina,ARG,South America,2019,11347,2134,5374,3085,44938712,279007,620.8611408,48.82204902
Armenia,ARM,Asia,2019,2446,319,1031,29,2820602,36622,1298.375311,135.6093486
Australia,AUS,Oceania,2019,5114,2457,826,1500,25340217,115179,454.5304407,39.05649269
Austria,AUT,Europe,2019,2985,662,504,799,8879920,74571,839.771079,55.74374544
Azerbaijan,AZE,Asia,2019,7060,1393,2056,156,10024283,105302,1050.469146,106.3916492
Bahrain,BHR,Asia,2019,259,31,40,14,1494188,5933,397.0718544,23.02253799
Bangladesh,BGD,Asia,2019,15559,29969,16094,22467,165516222,970115,586.1147556,50.80408372
Barbados,BRB,North America,2019,98,66,3,34,280180,2666,951.5311585,71.73959597
Belarus,BLR,Europe,2019,12391,3574,4509,1039,9419758,153255,1626.952624,228.3816633
Belgium,BEL,Europe,2019,3346,1316,437,572,11488980,86707,754.6971098,49.36034356
Belize,BLZ,North America,2019,48,3,1,25,389095,1612,414.2947095,19.78951156
Benin,BEN,Africa,2019,794,918,49,544,12290444,54239,441.3103383,18.7544079
Bermuda,BMU,North America,2019,25,10,4,6,63911,469,733.8329865,70.41041448
Bhutan,BTN,Asia,2019,105,84,50,65,767459,3938,513.1218736,39.61123656
Bolivia,BOL,South America,2019,1604,824,77,921,11777315,53929,457.9057281,29.08982226
Bosnia and Herzegovina,BIH,Europe,2019,1698,742,810,222,3360711,54412,1619.062157,103.3114719
Botswana,BWA,Africa,2019,318,421,199,222,2499702,15296,611.91294,46.40553154
Brazil,BRA,South America,2019,33250,11488,816,17701,211782878,1152449,544.1653314,29.86785362
Bulgaria,BGR,Europe,2019,7343,3361,2269,563,6975761,177175,2539.86626,194.0433452
Burkina Faso,BFA,Africa,2019,1869,2223,98,1487,20951639,116939,558.137719,27.09573222
Burundi,BDI,Africa,2019,955,317,471,797,11874838,55599,468.2084926,21.38976549
Cambodia,KHM,Asia,2019,1319,2836,166,2079,16207746,113008,697.2468596,39.48729206
Cameroon,CMR,Africa,2019,1989,1203,34,995,25782341,128405,498.034682,16.37167083
Canada,CAN,North America,2019,9228,3645,296,2251,37601230,212170,564.2634563,41.00929677
Central African Republic,CAF,Africa,2019,554,591,13,570,5209324,40797,783.153438,33.17129056
Chad,TCD,Africa,2019,1615,1363,165,1018,16126866,102015,632.5779603,25.80166537
Chile,CHL,South America,2019,3143,1389,984,639,19039485,98543,517.5717726,32.32755508
China,CHN,Asia,2019,383478,231120,86309,15706,1407745000,13409833,952.5754309,50.90502896
Colombia,COL,South America,2019,7112,2202,2834,3435,50187406,191401,381.3725698,31.04962229
Comoros,COM,Africa,2019,90,52,16,81,790986,3767,476.241046,30.21545261
Costa Rica,CRI,North America,2019,796,161,222,346,5084532,19431,382.159066,29.99292757
Cote d'Ivoire,CIV,Africa,2019,2084,1317,43,1383,26147551,111121,424.9767024,18.46061989
