Country,Code,Continent Region,Year,Environmental_factors,
Afghanistan,AFG,Asia,2019,Outdoor_air_pollution_per_100k_people,24.23648775
Afghanistan,AFG,Asia,2019,Unsafe_water_source_per_100k_people,9.931294032
Afghanistan,AFG,Asia,2019,Secondhand_smoke_per_100k_people,16.04998785
Afghanistan,AFG,Asia,2019,Household_air_pollution_from_solid_fuels_per_100k_people,74.57869642
Afghanistan,AFG,Asia,2019,Air_pollution_per_100k_people,98.0500165
Albania,ALB,Europe,2019,Outdoor_air_pollution_per_100k_people,54.51632354
Albania,ALB,Europe,2019,Unsafe_water_source_per_100k_people,0.140144791
Albania,ALB,Europe,2019,Secondhand_smoke_per_100k_people,27.11801698
Albania,ALB,Europe,2019,Household_air_pollution_from_solid_fuels_per_100k_people,25.3662071
Albania,ALB,Europe,2019,Air_pollution_per_100k_people,79.74238585
Algeria,DZA,Africa,2019,Outdoor_air_pollution_per_100k_people,52.05200433
Algeria,DZA,Africa,2019,Unsafe_water_source_per_100k_people,0.648630402
Algeria,DZA,Africa,2019,Secondhand_smoke_per_100k_people,17.96027141
Algeria,DZA,Africa,2019,Household_air_pollution_from_solid_fuels_per_100k_people,0.154547316
Algeria,DZA,Africa,2019,Air_pollution_per_100k_people,51.89511539
American Samoa,ASM,Oceania,2019,Outdoor_air_pollution_per_100k_people,16.90581349
American Samoa,ASM,Oceania,2019,Unsafe_water_source_per_100k_people,4.226453372
American Samoa,ASM,Oceania,2019,Secondhand_smoke_per_100k_people,31.69840029
American Samoa,ASM,Oceania,2019,Household_air_pollution_from_solid_fuels_per_100k_people,12.67936011
American Samoa,ASM,Oceania,2019,Air_pollution_per_100k_people,29.5851736
Andorra,AND,Europe,2019,Outdoor_air_pollution_per_100k_people,18.33828904
Andorra,AND,Europe,2019,Unsafe_water_source_per_100k_people,0
Andorra,AND,Europe,2019,Secondhand_smoke_per_100k_people,10.47902231
Andorra,AND,Europe,2019,Household_air_pollution_from_solid_fuels_per_100k_people,0
Andorra,AND,Europe,2019,Air_pollution_per_100k_people,18.33828904
Angola,AGO,Africa,2019,Outdoor_air_pollution_per_100k_people,17.6580106
Angola,AGO,Africa,2019,Unsafe_water_source_per_100k_people,34.44131142
Angola,AGO,Africa,2019,Secondhand_smoke_per_100k_people,5.050444482
Angola,AGO,Africa,2019,Household_air_pollution_from_solid_fuels_per_100k_people,26.97073351
Angola,AGO,Africa,2019,Air_pollution_per_100k_people,44.45874751
Antigua and Barbuda,ATG,North America,2019,Outdoor_air_pollution_per_100k_people,32.56727857
Antigua and Barbuda,ATG,North America,2019,Unsafe_water_source_per_100k_people,1.085575952
Antigua and Barbuda,ATG,North America,2019,Secondhand_smoke_per_100k_people,8.684607619
Antigua and Barbuda,ATG,North America,2019,Household_air_pollution_from_solid_fuels_per_100k_people,0
Antigua and Barbuda,ATG,North America,2019,Air_pollution_per_100k_people,32.56727857
Argentina,ARG,South America,2019,Outdoor_air_pollution_per_100k_people,29.19531828
Argentina,ARG,South America,2019,Unsafe_water_source_per_100k_people,0.700954669
Argentina,ARG,South America,2019,Secondhand_smoke_per_100k_people,19.08821953
Argentina,ARG,South America,2019,Household_air_pollution_from_solid_fuels_per_100k_people,1.575479066
Argentina,ARG,South America,2019,Air_pollution_per_100k_people,30.6595347
Armenia,ARM,Asia,2019,Outdoor_air_pollution_per_100k_people,114.9754556
Armenia,ARM,Asia,2019,Unsafe_water_source_per_100k_people,0.106360273
Armenia,ARM,Asia,2019,Secondhand_smoke_per_100k_people,35.66614503
Armenia,ARM,Asia,2019,Household_air_pollution_from_solid_fuels_per_100k_people,2.76536711
Armenia,ARM,Asia,2019,Air_pollution_per_100k_people,116.5354063
Australia,AUS,Oceania,2019,Outdoor_air_pollution_per_100k_people,7.486123738
Australia,AUS,Oceania,2019,Unsafe_water_source_per_100k_people,0.157851845
Australia,AUS,Oceania,2019,Secondhand_smoke_per_100k_people,6.24304046
Australia,AUS,Oceania,2019,Household_air_pollution_from_solid_fuels_per_100k_people,0.05130185
Australia,AUS,Oceania,2019,Air_pollution_per_100k_people,7.525586699
Austria,AUT,Europe,2019,Outdoor_air_pollution_per_100k_people,30.04531572
Austria,AUT,Europe,2019,Unsafe_water_source_per_100k_people,0.033784088
Austria,AUT,Europe,2019,Secondhand_smoke_per_100k_people,13.58120343
Austria,AUT,Europe,2019,Household_air_pollution_from_solid_fuels_per_100k_people,0.101352264
Austria,AUT,Europe,2019,Air_pollution_per_100k_people,29.89891801
Azerbaijan,AZE,Asia,2019,Outdoor_air_pollution_per_100k_people,79.84610969
Azerbaijan,AZE,Asia,2019,Unsafe_water_source_per_100k_people,0.598546549
Azerbaijan,AZE,Asia,2019,Secondhand_smoke_per_100k_people,31.30398453
Azerbaijan,AZE,Asia,2019,Household_air_pollution_from_solid_fuels_per_100k_people,6.643866698
Azerbaijan,AZE,Asia,2019,Air_pollution_per_100k_people,86.22063044
Bahrain,BHR,Asia,2019,Outdoor_air_pollution_per_100k_people,43.03340677
Bahrain,BHR,Asia,2019,Unsafe_water_source_per_100k_people,0.401555895
Bahrain,BHR,Asia,2019,Secondhand_smoke_per_100k_people,9.905045416
Bahrain,BHR,Asia,2019,Household_air_pollution_from_solid_fuels_per_100k_people,0.133851965
Bahrain,BHR,Asia,2019,Air_pollution_per_100k_people,42.69877686
Bangladesh,BGD,Asia,2019,Outdoor_air_pollution_per_100k_people,50.69714556
Bangladesh,BGD,Asia,2019,Unsafe_water_source_per_100k_people,17.01222977
